species_class_id,common_name,query_used,scientific_name,kingdom,phylum,class,order,family,genus,match,n_vernacular,in_tol_species,in_tol_genus,in_tol_family,in_tol_common
742,Baltimore Oriole,Baltimore Oriole,Icterus galbula,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,vernacular_exact,113,True,True,True,True
76,Band-tailed Pigeon,Band-tailed Pigeon,Patagioenas fasciata,Animalia,Chordata,Aves,Columbiformes,Columbidae,Patagioenas,vernacular_exact,70,True,True,True,True
571,Bank Swallow,Bank Swallow,Riparia riparia,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Riparia,vernacular_exact,285,True,True,True,True
37,Barn Owl,Barn Owl,Tyto alba,Animalia,Chordata,Aves,Strigiformes,Tytonidae,Tyto,vernacular_exact,318,True,True,True,True
730,Barn Swallow,Barn Swallow,Hirundo rustica,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo,vernacular_exact,325,True,True,True,True
205,Barred Owl,Barred Owl,Strix varia,Animalia,Chordata,Aves,Strigiformes,Strigidae,Strix,vernacular_exact,83,True,True,True,True
219,Barrow's Goldeneye,Barrow's Goldeneye,Bucephala islandica,Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala,vernacular_exact,111,True,True,True,True
443,Bay-breasted Warbler,Bay-breasted Warbler,Setophaga castanea,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,vernacular_exact,79,True,True,True,True
285,Bell's Vireo,Bell's Vireo,Vireo bellii,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,vernacular_exact,52,True,True,True,False
142,Belted Kingfisher,Belted Kingfisher,Megaceryle alcyon,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Megaceryle,vernacular_exact,106,True,True,True,True
422,Bewick's Wren,Bewick's Wren,Thryomanes bewickii,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Thryomanes,vernacular_exact,59,True,True,True,False
144,Black Guillemot,Black Guillemot,Cepphus grylle,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Cepphus,vernacular_exact,170,True,True,True,True
39,Black Oystercatcher,Black Oystercatcher,Haematopus bachmani,Animalia,Chordata,Aves,Charadriiformes,Haematopodidae,Haematopus,vernacular_exact,75,True,True,True,False
409,Black Phoebe,Black Phoebe,Sayornis nigricans,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Sayornis,vernacular_exact,71,True,True,True,True
269,Black Rosy-Finch,Black Rosy-Finch,Leucosticte atrata,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Leucosticte,vernacular_exact,55,True,True,True,False
201,Black Scoter,Black Scoter,Melanitta nigra,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,vernacular_exact,193,True,True,True,True
250,Black Skimmer,Black Skimmer,Rynchops niger,Animalia,Chordata,Aves,Charadriiformes,Laridae,Rynchops,vernacular_exact,66,True,True,True,True
246,Black Tern,Black Tern,Chlidonias niger,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chlidonias,vernacular_exact,227,True,True,True,True
100,Black Turnstone,Black Turnstone,Arenaria melanocephala,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Arenaria,vernacular_exact,71,True,True,True,True
28,Black Vulture,Coragyps atratus,Coragyps atratus,Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Coragyps,vernacular_exact,123,True,True,True,True
272,Black-and-white Warbler,Black-and-white Warbler,Mniotilta varia,Animalia,Chordata,Aves,Passeriformes,Parulidae,Mniotilta,vernacular_exact,118,True,True,True,True
23,Black-bellied Plover,Black-bellied Plover,Pluvialis squatarola,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,vernacular_exact,243,True,True,True,True
24,Black-bellied Whistling-Duck,Black-bellied Whistling-Duck,Dendrocygna autumnalis,Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,vernacular_exact,143,True,True,True,False
139,Black-billed Cuckoo,Black-billed Cuckoo,Coccyzus erythropthalmus,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Coccyzus,vernacular_exact,109,True,True,True,True
566,Black-billed Magpie,Pica hudsonia,Pica hudsonia,Animalia,Chordata,Aves,Passeriformes,Corvidae,Pica,vernacular_exact,67,True,True,True,True
278,Black-capped Chickadee,Black-capped Chickadee,Poecile atricapillus,Animalia,Chordata,Aves,Passeriformes,Paridae,Poecile,vernacular_exact,69,True,True,True,True
123,Black-chinned Hummingbird,Black-chinned Hummingbird,Archilochus alexandri,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,vernacular_exact,54,True,True,True,True
734,Black-crested Titmouse,Black-crested Titmouse,Baeolophus atricristatus,Animalia,Chordata,Aves,Passeriformes,Paridae,Baeolophus,vernacular_exact,51,True,True,True,True
173,Black-crowned Night-Heron,Black-crowned Night-Heron,Nycticorax nycticorax,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Nycticorax,vernacular_exact,284,True,True,True,False
568,Black-headed Grosbeak,Black-headed Grosbeak,Pheucticus melanocephalus,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Pheucticus,vernacular_exact,62,True,True,True,True
145,Black-legged Kittiwake,Black-legged Kittiwake,Rissa tridactyla,Animalia,Chordata,Aves,Charadriiformes,Laridae,Rissa,vernacular_exact,223,True,True,True,True
46,Black-necked Stilt,Black-necked Stilt,Himantopus mexicanus,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Himantopus,vernacular_exact,137,True,True,True,True
594,Black-tailed Gnatcatcher,Black-tailed Gnatcatcher,Polioptila melanura,Animalia,Chordata,Aves,Passeriformes,Polioptilidae,Polioptila,vernacular_exact,49,True,True,True,True
589,Black-throated Blue Warbler,Black-throated Blue Warbler,Setophaga caerulescens,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,vernacular_exact,74,True,True,True,True
713,Black-throated Gray Warbler,Black-throated Gray Warbler,Setophaga nigrescens,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,vernacular_exact,57,True,True,True,True
732,Black-throated Green Warbler,Black-throated Green Warbler,Setophaga virens,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,vernacular_exact,76,True,True,True,True
564,Blackburnian Warbler,Blackburnian Warbler,Setophaga fusca,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,vernacular_exact,85,True,True,True,True
582,Blackpoll Warbler,Blackpoll Warbler,Setophaga striata,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,vernacular_exact,103,True,True,True,True
584,Blue Grosbeak,Blue Grosbeak,Passerina caerulea,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Passerina,vernacular_exact,84,True,True,True,True
286,Blue Jay,Blue Jay,Cyanocitta cristata,Animalia,Chordata,Aves,Passeriformes,Corvidae,Cyanocitta,vernacular_exact,107,True,True,True,True
387,Blue-gray Gnatcatcher,Blue-gray Gnatcatcher,Polioptila caerulea,Animalia,Chordata,Aves,Passeriformes,Polioptilidae,Polioptila,vernacular_exact,75,True,True,True,True
580,Blue-headed Vireo,Blue-headed Vireo,Vireo solitarius,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,vernacular_exact,72,True,True,True,True
116,Blue-winged Teal,Blue-winged Teal,Spatula discors,Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula,vernacular_exact,128,True,True,True,True
266,Blue-winged Warbler,Blue-winged Warbler,Vermivora cyanoptera,Animalia,Chordata,Aves,Passeriformes,Parulidae,Vermivora,vernacular_exact,70,True,True,True,True
565,Boat-tailed Grackle,Boat-tailed Grackle,Quiscalus major,Animalia,Chordata,Aves,Passeriformes,Icteridae,Quiscalus,vernacular_exact,69,True,True,True,True
254,Bobolink,Bobolink,Dolichonyx oryzivorus,Animalia,Chordata,Aves,Passeriformes,Icteridae,Dolichonyx,vernacular_exact,98,True,True,True,True
390,Bohemian Waxwing,Bohemian Waxwing,Bombycilla garrulus,Animalia,Chordata,Aves,Passeriformes,Bombycillidae,Bombycilla,vernacular_exact,182,True,True,True,True
191,Bonaparte's Gull,Bonaparte's Gull,Chroicocephalus philadelphia,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus,vernacular_exact,97,True,True,True,True
424,Boreal Chickadee,Boreal Chickadee,Poecile hudsonicus,Animalia,Chordata,Aves,Passeriformes,Paridae,Poecile,vernacular_exact,21,True,True,True,True
75,Brandt's Cormorant,Brandt's Cormorant,Urile penicillatus,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Urile,vernacular_exact,61,False,True,True,True
42,Brant,Brant,Branta bernicla,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,vernacular_exact,210,True,True,True,True
416,Brewer's Blackbird,Brewer's Blackbird,Euphagus cyanocephalus,Animalia,Chordata,Aves,Passeriformes,Icteridae,Euphagus,vernacular_exact,68,True,True,True,True
418,Brewer's Sparrow,Brewer's Sparrow,Spizella breweri,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Spizella,vernacular_exact,56,True,True,True,False
569,Bridled Titmouse,Bridled Titmouse,Baeolophus wollweberi,Animalia,Chordata,Aves,Passeriformes,Paridae,Baeolophus,vernacular_exact,55,True,True,True,True
90,Broad-billed Hummingbird,Broad-billed Hummingbird,Cynanthus latirostris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Cynanthus,vernacular_exact,54,True,True,True,True
200,Broad-tailed Hummingbird,Broad-tailed Hummingbird,Selasphorus platycercus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,vernacular_exact,52,True,True,True,True
186,Broad-winged Hawk,Broad-winged Hawk,Buteo platypterus,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,vernacular_exact,87,True,True,True,True
590,Bronzed Cowbird,Bronzed Cowbird,Molothrus aeneus,Animalia,Chordata,Aves,Passeriformes,Icteridae,Molothrus,vernacular_exact,70,True,True,True,False
435,Brown Creeper,Brown Creeper,Certhia americana,Animalia,Chordata,Aves,Passeriformes,Certhiidae,Certhia,vernacular_exact,79,True,True,True,True
41,Brown Pelican,Brown Pelican,Pelecanus occidentalis,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,vernacular_exact,97,True,True,True,True
438,Brown Thrasher,Brown Thrasher,Toxostoma rufum,Animalia,Chordata,Aves,Passeriformes,Mimidae,Toxostoma,vernacular_exact,96,True,True,True,True
280,Brown-capped Rosy-Finch,Brown-capped Rosy-Finch,Leucosticte australis,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Leucosticte,vernacular_exact,53,True,True,True,False
690,Brown-headed Cowbird,Brown-headed Cowbird,Molothrus ater,Animalia,Chordata,Aves,Passeriformes,Icteridae,Molothrus,vernacular_exact,88,True,True,True,True
711,Brown-headed Nuthatch,Brown-headed Nuthatch,Sitta pusilla,Animalia,Chordata,Aves,Passeriformes,Sittidae,Sitta,vernacular_exact,50,True,True,True,True
209,Bufflehead,Bufflehead,Bucephala albeola,Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala,vernacular_exact,106,True,True,True,True
728,Bullock's Oriole,Bullock's Oriole,Icterus bullockii,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,vernacular_exact,60,True,True,True,True
182,Burrowing Owl,Burrowing Owl,Athene cunicularia,Animalia,Chordata,Aves,Strigiformes,Strigidae,Athene,vernacular_exact,108,True,True,True,True
434,Bushtit,Bushtit,Psaltriparus minimus,Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Psaltriparus,vernacular_exact,67,True,True,True,True
51,Cackling Goose,Cackling Goose,Branta hutchinsii,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,vernacular_exact,92,True,True,True,False
265,Cactus Wren,Cactus Wren,Campylorhynchus brunneicapillus,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Campylorhynchus,vernacular_exact,50,True,True,True,False
241,California Gull,California Gull,Larus californicus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,vernacular_exact,64,True,True,True,True
73,California Quail,California Quail,Callipepla californica,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Callipepla,vernacular_exact,90,True,True,True,True
720,California Thrasher,California Thrasher,Toxostoma redivivum,Animalia,Chordata,Aves,Passeriformes,Mimidae,Toxostoma,vernacular_exact,51,True,True,True,True
290,California Towhee,California Towhee,Melozone crissalis,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melozone,vernacular_exact,49,True,True,True,True
180,Calliope Hummingbird,Calliope Hummingbird,Selasphorus calliope,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,vernacular_exact,42,True,True,True,True
57,Canada Goose,Canada Goose,Branta canadensis,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,vernacular_exact,214,True,True,True,True
736,Canada Warbler,Canada Warbler,Cardellina canadensis,Animalia,Chordata,Aves,Passeriformes,Parulidae,Cardellina,vernacular_exact,73,True,True,True,True
153,Canvasback,Canvasback,Aythya valisineria,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,vernacular_exact,111,True,True,True,True
282,Canyon Towhee,Canyon Towhee,Melozone fusca,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melozone,vernacular_exact,56,True,True,True,True
288,Canyon Wren,Canyon Wren,Catherpes mexicanus,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Catherpes,vernacular_exact,47,True,True,True,True
417,Cape May Warbler,Cape May Warbler,Setophaga tigrina,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,vernacular_exact,74,True,True,True,True
261,Carolina Chickadee,Carolina Chickadee,Poecile carolinensis,Animalia,Chordata,Aves,Passeriformes,Paridae,Poecile,vernacular_exact,49,True,True,True,True
386,Carolina Wren,Carolina Wren,Thryothorus ludovicianus,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Thryothorus,vernacular_exact,71,True,True,True,True
245,Caspian Tern,Caspian Tern,Hydroprogne caspia,Animalia,Chordata,Aves,Charadriiformes,Laridae,Hydroprogne,vernacular_exact,162,True,True,True,True
408,Cassin's Finch,Cassin's Finch,Haemorhous cassinii,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Haemorhous,vernacular_exact,47,True,True,True,True
701,Cassin's Kingbird,Cassin's Kingbird,Tyrannus vociferans,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tyrannus,vernacular_exact,58,True,True,True,True
563,Cassin's Vireo,Cassin's Vireo,Vireo cassinii,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,vernacular_exact,44,True,True,True,True
148,Cattle Egret,Cattle Egret,Bubulcus ibis,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Bubulcus,vernacular_exact,103,True,True,True,True
707,Cave Swallow,Cave Swallow,Petrochelidon fulva,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Petrochelidon,vernacular_exact,67,True,True,True,True
597,Cedar Waxwing,Cedar Waxwing,Bombycilla cedrorum,Animalia,Chordata,Aves,Passeriformes,Bombycillidae,Bombycilla,vernacular_exact,96,True,True,True,True
406,Chestnut-backed Chickadee,Chestnut-backed Chickadee,Poecile rufescens,Animalia,Chordata,Aves,Passeriformes,Paridae,Poecile,vernacular_exact,45,True,True,True,True
577,Chestnut-sided Warbler,Chestnut-sided Warbler,Setophaga pensylvanica,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,vernacular_exact,78,True,True,True,True
725,Chihuahuan Raven,Chihuahuan Raven,Corvus cryptoleucus,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,vernacular_exact,56,True,True,True,True
34,Chimney Swift,Chimney Swift,Chaetura pelagica,Animalia,Chordata,Aves,Apodiformes,Apodidae,Chaetura,vernacular_exact,118,True,True,True,True
403,Chipping Sparrow,Chipping Sparrow,Spizella passerina,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Spizella,vernacular_exact,75,True,True,True,True
122,Cinnamon Teal,Cinnamon Teal,Spatula cyanoptera,Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula,vernacular_exact,87,True,True,True,True
215,Clark's Grebe,Clark's Grebe,Aechmophorus clarkii,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Aechmophorus,vernacular_exact,56,True,True,True,True
428,Clark's Nutcracker,Clark's Nutcracker,Nucifraga columbiana,Animalia,Chordata,Aves,Passeriformes,Corvidae,Nucifraga,vernacular_exact,72,True,True,True,True
410,Clay-colored Sparrow,Clay-colored Sparrow,Spizella pallida,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Spizella,vernacular_exact,65,True,True,True,True
592,Cliff Swallow,Cliff Swallow,Petrochelidon pyrrhonota,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Petrochelidon,vernacular_exact,123,True,True,True,True
179,Common Eider,Common Eider,Somateria mollissima,Animalia,Chordata,Aves,Anseriformes,Anatidae,Somateria,vernacular_exact,233,True,True,True,False
110,Common Gallinule,Common Gallinule,Gallinula chloropus,Animalia,Chordata,Aves,Gruiformes,Rallidae,Gallinula,vernacular_exact,193,True,True,True,True
214,Common Goldeneye,Common Goldeneye,Bucephala clangula,Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala,vernacular_exact,213,True,True,True,True
429,Common Grackle,Common Grackle,Quiscalus quiscula,Animalia,Chordata,Aves,Passeriformes,Icteridae,Quiscalus,vernacular_exact,81,True,True,True,True
222,Common Ground-Dove,Common Ground-Dove,Columbina passerina,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columbina,vernacular_exact,82,True,True,True,True
194,Common Loon,Common Loon,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,vernacular_exact,209,True,True,True,True
229,Common Merganser,Common Merganser,Mergus merganser,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergus,vernacular_exact,203,True,True,True,True
141,Common Nighthawk,Common Nighthawk,Chordeiles minor,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,vernacular_exact,115,True,True,True,True
739,Common Raven,Common Raven,Corvus corax,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,vernacular_exact,286,True,True,True,True
585,Common Redpoll,Common Redpoll,Acanthis flammea,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Acanthis,vernacular_exact,174,True,True,True,True
247,Common Tern,Common Tern,Sterna hirundo,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,vernacular_exact,216,True,True,True,True
391,Common Yellowthroat,Common Yellowthroat,Geothlypis trichas,Animalia,Chordata,Aves,Passeriformes,Parulidae,Geothlypis,vernacular_exact,125,True,True,True,True
155,Cooper's Hawk,Cooper's Hawk,Accipiter cooperii,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,vernacular_exact,25,True,True,True,True
312,Cordilleran Flycatcher,Empidonax occidentalis,Empidonax occidentalis,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,vernacular_exact,11,True,True,True,True
167,Costa's Hummingbird,Costa's Hummingbird,Calypte costae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Calypte,vernacular_exact,53,True,True,True,True
54,Crested Caracara,Crested Caracara,Caracara plancus,Animalia,Chordata,Aves,Falconiformes,Falconidae,Caracara,vernacular_exact,114,True,True,True,True
596,Curve-billed Thrasher,Curve-billed Thrasher,Toxostoma curvirostre,Animalia,Chordata,Aves,Passeriformes,Mimidae,Toxostoma,vernacular_exact,56,True,True,True,True
744,Dark-eyed Junco,Dark-eyed Junco,Junco hyemalis,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Junco,vernacular_exact,102,True,True,True,True
738,Dickcissel,Dickcissel,Spiza americana,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Spiza,vernacular_exact,85,True,True,True,True
134,Double-crested Cormorant,Double-crested Cormorant,Phalacrocorax auritus,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,vernacular_exact,39,True,True,True,True
188,Downy Woodpecker,Downy Woodpecker,Dryobates pubescens,Animalia,Chordata,Aves,Piciformes,Picidae,Dryobates,vernacular_exact,50,True,True,True,True
129,Dunlin,Dunlin,Calidris alpina,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,vernacular_exact,238,True,True,True,True
157,Eared Grebe,Eared Grebe,Podiceps nigricollis,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,vernacular_exact,213,True,True,True,True
262,Eastern Bluebird,Eastern Bluebird,Sialia sialis,Animalia,Chordata,Aves,Passeriformes,Turdidae,Sialia,vernacular_exact,83,True,True,True,True
727,Eastern Kingbird,Eastern Kingbird,Tyrannus tyrannus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tyrannus,vernacular_exact,99,True,True,True,True
277,Eastern Meadowlark,Eastern Meadowlark,Sturnella magna,Animalia,Chordata,Aves,Passeriformes,Icteridae,Sturnella,vernacular_exact,95,True,True,True,True
420,Eastern Phoebe,Eastern Phoebe,Sayornis phoebe,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Sayornis,vernacular_exact,76,True,True,True,True
88,Eastern Screech-Owl,Eastern Screech-Owl,Megascops asio,Animalia,Chordata,Aves,Strigiformes,Strigidae,Megascops,vernacular_exact,81,True,True,True,True
267,Eastern Towhee,Eastern Towhee,Pipilo erythrophthalmus,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Pipilo,vernacular_exact,91,True,True,True,True
270,Eastern Wood-Pewee,Eastern Wood-Pewee,Contopus virens,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Contopus,vernacular_exact,90,True,True,True,False
105,Eurasian Collared-Dove,Eurasian Collared-Dove,Streptopelia decaocto,Animalia,Chordata,Aves,Columbiformes,Columbidae,Streptopelia,vernacular_exact,211,True,True,True,True
439,European Starling,European Starling,Sturnus vulgaris,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Sturnus,vernacular_exact,290,True,True,True,True
740,Evening Grosbeak,Evening Grosbeak,Hesperiphona vespertina,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Hesperiphona,vernacular_exact,52,True,True,True,True
426,Field Sparrow,Field Sparrow,Spizella pusilla,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Spizella,vernacular_exact,68,True,True,True,True
710,Fish Crow,Fish Crow,Corvus ossifragus,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,vernacular_exact,59,True,True,True,True
301,Florida Scrub-Jay,Florida Scrub-Jay,Aphelocoma coerulescens,Animalia,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,vernacular_exact,84,True,True,True,False
248,Forster's Tern,Forster's Tern,Sterna forsteri,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,vernacular_exact,129,True,True,True,True
591,Fox Sparrow,Fox Sparrow,Passerella iliaca,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Passerella,vernacular_exact,106,True,True,True,True
87,Gadwall,Gadwall,Mareca strepera,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mareca,vernacular_exact,151,True,True,True,True
103,Gambel's Quail,Gambel's Quail,Callipepla gambelii,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Callipepla,vernacular_exact,69,True,True,True,True
63,Gila Woodpecker,Gila Woodpecker,Melanerpes uropygialis,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,vernacular_exact,47,True,True,True,True
243,Glaucous-winged Gull,Glaucous-winged Gull,Larus glaucescens,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,vernacular_exact,81,True,True,True,True
208,Glossy Ibis,Glossy Ibis,Plegadis falcinellus,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Plegadis,vernacular_exact,216,True,True,True,True
234,Golden Eagle,Golden Eagle,Aquila chrysaetos,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,vernacular_exact,245,True,True,True,True
388,Golden-crowned Kinglet,Golden-crowned Kinglet,Regulus satrapa,Animalia,Chordata,Aves,Passeriformes,Regulidae,Regulus,vernacular_exact,68,True,True,True,True
