cub_class,nabirds_species
rufous hummingbird,Rufous Hummingbird
rusty blackbird,Rusty Blackbird
sage thrasher,
savannah sparrow,Savannah Sparrow
sayornis,Eastern Phoebe
scarlet tanager,Scarlet Tanager
scissor tailed flycatcher,Scissor-tailed Flycatcher
scott oriole,
seaside sparrow,
shiny cowbird,
slaty backed gull,
song sparrow,Song Sparrow
sooty albatross,
spotted catbird,
summer tanager,Summer Tanager
swainson warbler,
tennessee warbler,Tennessee Warbler
tree sparrow,American Tree Sparrow
tree swallow,Tree Swallow
tropical kingbird,
vermilion flycatcher,Vermilion Flycatcher
vesper sparrow,Vesper Sparrow
warbling vireo,Warbling Vireo
western grebe,Western Grebe
western gull,Western Gull
western meadowlark,Western Meadowlark
western wood pewee,Western Wood-Pewee
whip poor will,Eastern Whip-poor-will
white breasted kingfisher,
white breasted nuthatch,White-breasted Nuthatch
white crowned sparrow,White-crowned Sparrow
white eyed vireo,White-eyed Vireo
white necked raven,
white pelican,American White Pelican
white throated sparrow,White-throated Sparrow
wilson warbler,Wilson's Warbler
winter wren,Winter Wren
worm eating warbler,
yellow bellied flycatcher,
yellow billed cuckoo,Yellow-billed Cuckoo
yellow breasted chat,Yellow-breasted Chat
yellow headed blackbird,Yellow-headed Blackbird
yellow throated vireo,Yellow-throated Vireo
yellow warbler,Yellow Warbler
