class_id,leaf_name,base_name,species_name,order_name,variant_raw,phrase,sex,age,season,morph,form,female_side,male_only,n_train,n_test
324,Redhead (Breeding male),Redhead,Redhead,"Ducks, Geese, and Swans",Breeding male,breeding male,male,,breeding,,,False,True,39,27
325,Ring-necked Duck (Breeding male),Ring-necked Duck,Ring-necked Duck,"Ducks, Geese, and Swans",Breeding male,breeding male,male,,breeding,,,False,True,38,44
326,Greater Scaup (Breeding male),Greater Scaup,Greater Scaup,"Ducks, Geese, and Swans",Breeding male,breeding male,male,,breeding,,,False,True,29,43
327,Lesser Scaup (Breeding male),Lesser Scaup,Lesser Scaup,"Ducks, Geese, and Swans",Breeding male,breeding male,male,,breeding,,,False,True,41,44
328,Harlequin Duck (Male),Harlequin Duck,Harlequin Duck,"Ducks, Geese, and Swans",Male,male,male,,,,,False,True,49,43
329,Surf Scoter (Male),Surf Scoter,Surf Scoter,"Ducks, Geese, and Swans",Male,male,male,,,,,False,True,33,37
330,White-winged Scoter (Male),White-winged Scoter,White-winged Scoter,"Ducks, Geese, and Swans",Male,male,male,,,,,False,True,17,27
331,Black Scoter (Male),Black Scoter,Black Scoter,"Ducks, Geese, and Swans",Male,male,male,,,,,False,True,22,19
332,Bufflehead (Breeding male),Bufflehead,Bufflehead,"Ducks, Geese, and Swans",Breeding male,breeding male,male,,breeding,,,False,True,46,60
333,Common Goldeneye (Breeding male),Common Goldeneye,Common Goldeneye,"Ducks, Geese, and Swans",Breeding male,breeding male,male,,breeding,,,False,True,54,51
334,Barrow's Goldeneye (Breeding male),Barrow's Goldeneye,Barrow's Goldeneye,"Ducks, Geese, and Swans",Breeding male,breeding male,male,,breeding,,,False,True,10,35
335,Hooded Merganser (Breeding male),Hooded Merganser,Hooded Merganser,"Ducks, Geese, and Swans",Breeding male,breeding male,male,,breeding,,,False,True,53,53
336,Common Merganser (Breeding male),Common Merganser,Common Merganser,"Ducks, Geese, and Swans",Breeding male,breeding male,male,,breeding,,,False,True,31,32
337,Red-breasted Merganser (Breeding male),Red-breasted Merganser,Red-breasted Merganser,"Ducks, Geese, and Swans",Breeding male,breeding male,male,,breeding,,,False,True,36,41
338,California Quail (Male),California Quail,California Quail,"Grouse, Quail, and Allies",Male,male,male,,,,,False,True,60,56
339,Gambel's Quail (Male),Gambel's Quail,Gambel's Quail,"Grouse, Quail, and Allies",Male,male,male,,,,,False,True,36,35
340,Ring-necked Pheasant (Male),Ring-necked Pheasant,Ring-necked Pheasant,"Grouse, Quail, and Allies",Male,male,male,,,,,False,True,46,47
341,Red-throated Loon (Breeding),Red-throated Loon,Red-throated Loon,Loons,Breeding,breeding,,,breeding,,,False,False,11,12
342,Pacific Loon (Breeding),Pacific Loon,Pacific Loon,Loons,Breeding,breeding,,,breeding,,,False,False,11,20
343,Common Loon (Breeding),Common Loon,Common Loon,Loons,Breeding,breeding,,,breeding,,,False,False,34,60
344,Horned Grebe (Breeding),Horned Grebe,Horned Grebe,Grebes,Breeding,breeding,,,breeding,,,False,False,41,35
345,Red-necked Grebe (Breeding),Red-necked Grebe,Red-necked Grebe,Grebes,Breeding,breeding,,,breeding,,,False,False,25,29
346,Eared Grebe (Breeding),Eared Grebe,Eared Grebe,Grebes,Breeding,breeding,,,breeding,,,False,False,31,42
347,"Northern Gannet (Adult, Subadult)",Northern Gannet,Northern Gannet,"Frigatebirds, Boobies, Cormorants, Darters, and Allies","Adult, Subadult",adult or subadult,,subadult/adult,,,,False,False,46,60
348,Double-crested Cormorant (Immature),Double-crested Cormorant,Double-crested Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",Immature,immature,,immature,,,,False,False,57,52
349,Great Cormorant (Adult),Great Cormorant,Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",Adult,adult,,adult,,,,False,False,35,40
350,Little Blue Heron (Adult),Little Blue Heron,Little Blue Heron,"Pelicans, Herons, Ibises, and Allies",Adult,adult,,adult,,,,False,False,60,60
351,Reddish Egret (Dark morph),Reddish Egret,Reddish Egret,"Pelicans, Herons, Ibises, and Allies",Dark morph,dark morph,,,,dark,,False,False,58,52
352,Black-crowned Night-Heron (Adult),Black-crowned Night-Heron,Black-crowned Night-Heron,"Pelicans, Herons, Ibises, and Allies",Adult,adult,,adult,,,,False,False,60,60
353,Yellow-crowned Night-Heron (Adult),Yellow-crowned Night-Heron,Yellow-crowned Night-Heron,"Pelicans, Herons, Ibises, and Allies",Adult,adult,,adult,,,,False,False,38,60
354,White Ibis (Adult),White Ibis,White Ibis,"Pelicans, Herons, Ibises, and Allies",Adult,adult,,adult,,,,False,False,60,58
355,"Bald Eagle (Adult, subadult)",Bald Eagle,Bald Eagle,"Hawks, Kites, Eagles, and Allies","Adult, subadult",adult or subadult,,subadult/adult,,,,False,False,60,60
356,Northern Harrier (Adult male),Northern Harrier,Northern Harrier,"Hawks, Kites, Eagles, and Allies",Adult male,adult male,male,adult,,,,False,True,35,60
357,Sharp-shinned Hawk (Adult ),Sharp-shinned Hawk,Sharp-shinned Hawk,"Hawks, Kites, Eagles, and Allies",Adult,adult,,adult,,,,False,False,60,58
358,Cooper's Hawk (Adult),Cooper's Hawk,Cooper's Hawk,"Hawks, Kites, Eagles, and Allies",Adult,adult,,adult,,,,False,False,60,57
359,Red-shouldered Hawk (Adult ),Red-shouldered Hawk,Red-shouldered Hawk,"Hawks, Kites, Eagles, and Allies",Adult,adult,,adult,,,,False,False,32,38
360,Broad-winged Hawk (Adult),Broad-winged Hawk,Broad-winged Hawk,"Hawks, Kites, Eagles, and Allies",Adult,adult,,adult,,,,False,False,32,26
361,Rough-legged Hawk (Dark morph),Rough-legged Hawk,Rough-legged Hawk,"Hawks, Kites, Eagles, and Allies",Dark morph,dark morph,,,,dark,,False,False,26,24
362,Golden Eagle (Adult),Golden Eagle,Golden Eagle,"Hawks, Kites, Eagles, and Allies",Adult,adult,,adult,,,,False,False,39,42
363,American Kestrel (Adult male),American Kestrel,American Kestrel,Caracaras and Falcons,Adult male,adult male,male,adult,,,,False,True,60,60
364,Peregrine Falcon (Adult),Peregrine Falcon,Peregrine Falcon,Caracaras and Falcons,Adult,adult,,adult,,,,False,False,31,46
365,Purple Gallinule (Adult),Purple Gallinule,Purple Gallinule,Cranes and Rails,Adult,adult,,adult,,,,False,False,34,40
366,Common Gallinule (Adult),Common Gallinule,Common Gallinule,Cranes and Rails,Adult,adult,,adult,,,,False,False,52,49
367,Black-bellied Plover (Breeding),Black-bellied Plover,Black-bellied Plover,"Plovers, Sandpipers, and Allies",Breeding,breeding,,,breeding,,,False,False,47,35
368,Spotted Sandpiper (Breeding),Spotted Sandpiper,Spotted Sandpiper,"Plovers, Sandpipers, and Allies",Breeding,breeding,,,breeding,,,False,False,57,51
369,Sanderling (Breeding),Sanderling,Sanderling,"Plovers, Sandpipers, and Allies",Breeding,breeding,,,breeding,,,False,False,12,19
370,Dunlin (Breeding),Dunlin,Dunlin,"Plovers, Sandpipers, and Allies",Breeding,breeding,,,breeding,,,False,False,41,35
371,Wilson's Phalarope (Breeding),Wilson's Phalarope,Wilson's Phalarope,"Plovers, Sandpipers, and Allies",Breeding,breeding,,,breeding,,,False,False,37,53
372,Broad-billed Hummingbird (Adult Male),Broad-billed Hummingbird,Broad-billed Hummingbird,Swifts and Hummingbirds,Adult Male,adult male,male,adult,,,,False,True,40,49
373,Ruby-throated Hummingbird (Adult Male),Ruby-throated Hummingbird,Ruby-throated Hummingbird,Swifts and Hummingbirds,Adult Male,adult male,male,adult,,,,False,True,46,54
374,Black-chinned Hummingbird (Adult Male),Black-chinned Hummingbird,Black-chinned Hummingbird,Swifts and Hummingbirds,Adult Male,adult male,male,adult,,,,False,True,51,50
375,Anna's Hummingbird (Adult Male),Anna's Hummingbird,Anna's Hummingbird,Swifts and Hummingbirds,Adult Male,adult male,male,adult,,,,False,True,59,54
376,Costa's Hummingbird (Adult Male),Costa's Hummingbird,Costa's Hummingbird,Swifts and Hummingbirds,Adult Male,adult male,male,adult,,,,False,True,37,37
377,Calliope Hummingbird (Adult Male),Calliope Hummingbird,Calliope Hummingbird,Swifts and Hummingbirds,Adult Male,adult male,male,adult,,,,False,True,37,41
378,Broad-tailed Hummingbird (Adult Male),Broad-tailed Hummingbird,Broad-tailed Hummingbird,Swifts and Hummingbirds,Adult Male,adult male,male,adult,,,,False,True,37,44
379,Rufous Hummingbird (Adult Male),Rufous Hummingbird,Rufous Hummingbird,Swifts and Hummingbirds,Adult Male,adult male,male,adult,,,,False,True,43,50
380,Allen's Hummingbird (Adult Male),Allen's Hummingbird,Allen's Hummingbird,Swifts and Hummingbirds,Adult Male,adult male,male,adult,,,,False,True,47,60
381,Red-headed Woodpecker (Adult),Red-headed Woodpecker,Red-headed Woodpecker,Woodpeckers,Adult,adult,,adult,,,,False,False,60,59
382,Northern Flicker (Yellow-shafted),Northern Flicker,Northern Flicker,Woodpeckers,Yellow-shafted,yellow-shafted form,,,,,yellow-shafted,False,False,60,59
392,Black Guillemot (Breeding),Black Guillemot,Black Guillemot,Skuas and Alcids,Breeding,breeding,,,breeding,,,False,False,25,20
393,Pigeon Guillemot (Breeding),Pigeon Guillemot,Pigeon Guillemot,Skuas and Alcids,Breeding,breeding,,,breeding,,,False,False,39,42
394,Black-legged Kittiwake (Adult),Black-legged Kittiwake,Black-legged Kittiwake,"Gulls, Terns, and Allies",Adult,adult,,adult,,,,False,False,30,23
395,Laughing Gull (Breeding),Laughing Gull,Laughing Gull,"Gulls, Terns, and Allies",Breeding,breeding,,,breeding,,,False,False,60,59
396,Heermann's Gull (Adult),Heermann's Gull,Heermann's Gull,"Gulls, Terns, and Allies",Adult,adult,,adult,,,,False,False,48,39
397,Ring-billed Gull (Adult),Ring-billed Gull,Ring-billed Gull,"Gulls, Terns, and Allies",Adult,adult,,adult,,,,False,False,60,60
398,Western Gull (Adult),Western Gull,Western Gull,"Gulls, Terns, and Allies",Adult,adult,,adult,,,,False,False,37,33
399,California Gull (Adult),California Gull,California Gull,"Gulls, Terns, and Allies",Adult,adult,,adult,,,,False,False,35,41
400,Herring Gull (Adult),Herring Gull,Herring Gull,"Gulls, Terns, and Allies",Adult,adult,,adult,,,,False,False,60,57
401,Glaucous-winged Gull (Adult),Glaucous-winged Gull,Glaucous-winged Gull,"Gulls, Terns, and Allies",Adult,adult,,adult,,,,False,False,40,38
402,Great Black-backed Gull (Adult),Great Black-backed Gull,Great Black-backed Gull,"Gulls, Terns, and Allies",Adult,adult,,adult,,,,False,False,43,41
446,Bonaparte's Gull,Bonaparte's Gull,Bonaparte's Gull,"Gulls, Terns, and Allies",,,,,,,,False,False,60,58
447,Mew Gull,Mew Gull,Mew Gull,"Gulls, Terns, and Allies",,,,,,,,False,False,32,23
448,Caspian Tern,Caspian Tern,Caspian Tern,"Gulls, Terns, and Allies",,,,,,,,False,False,44,49
449,Black Tern,Black Tern,Black Tern,"Gulls, Terns, and Allies",,,,,,,,False,False,28,35
450,Common Tern,Common Tern,Common Tern,"Gulls, Terns, and Allies",,,,,,,,False,False,60,60
451,Forster's Tern,Forster's Tern,Forster's Tern,"Gulls, Terns, and Allies",,,,,,,,False,False,60,60
452,Royal Tern,Royal Tern,Royal Tern,"Gulls, Terns, and Allies",,,,,,,,False,False,38,38
453,Black Skimmer,Black Skimmer,Black Skimmer,"Gulls, Terns, and Allies",,,,,,,,False,False,39,53
454,Greater White-fronted Goose,Greater White-fronted Goose,Greater White-fronted Goose,"Ducks, Geese, and Swans",,,,,,,,False,False,38,33
455,Brant,Brant,Brant,"Ducks, Geese, and Swans",,,,,,,,False,False,20,32
456,Cackling Goose,Cackling Goose,Cackling Goose,"Ducks, Geese, and Swans",,,,,,,,False,False,17,14
457,Canada Goose,Canada Goose,Canada Goose,"Ducks, Geese, and Swans",,,,,,,,False,False,30,31
458,Mute Swan,Mute Swan,Mute Swan,"Ducks, Geese, and Swans",,,,,,,,False,False,57,60
459,Trumpeter Swan,Trumpeter Swan,Trumpeter Swan,"Ducks, Geese, and Swans",,,,,,,,False,False,43,37
460,Tundra Swan,Tundra Swan,Tundra Swan,"Ducks, Geese, and Swans",,,,,,,,False,False,27,28
461,American Black Duck,American Black Duck,American Black Duck,"Ducks, Geese, and Swans",,,,,,,,False,False,28,37
462,Mottled Duck,Mottled Duck,Mottled Duck,"Ducks, Geese, and Swans",,,,,,,,False,False,31,29
463,Common Eider (Female/juvenile),Common Eider,Common Eider,"Ducks, Geese, and Swans",Female/juvenile,female or juvenile,female,juvenile,,,,True,False,19,22
464,Long-tailed Duck (Summer male),Long-tailed Duck,Long-tailed Duck,"Ducks, Geese, and Swans",Summer male,summer male,male,,breeding,,,False,True,16,12
465,Ruddy Duck (Winter male),Ruddy Duck,Ruddy Duck,"Ducks, Geese, and Swans",Winter male,winter male,male,,nonbreeding,,,False,True,20,28
466,Scaled Quail,Scaled Quail,Scaled Quail,"Grouse, Quail, and Allies",,,,,,,,False,False,20,19
467,Northern Bobwhite,Northern Bobwhite,Northern Bobwhite,"Grouse, Quail, and Allies",,,,,,,,False,False,27,32
468,Ruffed Grouse,Ruffed Grouse,Ruffed Grouse,"Grouse, Quail, and Allies",,,,,,,,False,False,35,40
469,Wild Turkey,Wild Turkey,Wild Turkey,"Grouse, Quail, and Allies",,,,,,,,False,False,60,60
470,Pied-billed Grebe,Pied-billed Grebe,Pied-billed Grebe,Grebes,,,,,,,,False,False,56,60
471,Western Grebe,Western Grebe,Western Grebe,Grebes,,,,,,,,False,False,33,42
472,Clark's Grebe,Clark's Grebe,Clark's Grebe,Grebes,,,,,,,,False,False,44,38
473,Wood Stork,Wood Stork,Wood Stork,Storks,,,,,,,,False,False,48,56
474,Brandt's Cormorant,Brandt's Cormorant,Brandt's Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",,,,,,,,False,False,33,33
475,Neotropic Cormorant,Neotropic Cormorant,Neotropic Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",,,,,,,,False,False,27,38
476,Pelagic Cormorant,Pelagic Cormorant,Pelagic Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",,,,,,,,False,False,36,26
477,Anhinga,Anhinga,Anhinga,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",,,,,,,,False,False,60,60
478,American White Pelican,American White Pelican,American White Pelican,"Pelicans, Herons, Ibises, and Allies",,,,,,,,False,False,36,28
479,Brown Pelican,Brown Pelican,Brown Pelican,"Pelicans, Herons, Ibises, and Allies",,,,,,,,False,False,31,34
480,Great Blue Heron,Great Blue Heron,Great Blue Heron,"Pelicans, Herons, Ibises, and Allies",,,,,,,,False,False,42,60
481,Great Egret,Great Egret,Great Egret,"Pelicans, Herons, Ibises, and Allies",,,,,,,,False,False,51,60
482,Snowy Egret,Snowy Egret,Snowy Egret,"Pelicans, Herons, Ibises, and Allies",,,,,,,,False,False,55,49
483,Tricolored Heron,Tricolored Heron,Tricolored Heron,"Pelicans, Herons, Ibises, and Allies",,,,,,,,False,False,60,60
484,Cattle Egret,Cattle Egret,Cattle Egret,"Pelicans, Herons, Ibises, and Allies",,,,,,,,False,False,59,49
485,Green Heron,Green Heron,Green Heron,"Pelicans, Herons, Ibises, and Allies",,,,,,,,False,False,60,60
486,Glossy Ibis,Glossy Ibis,Glossy Ibis,"Pelicans, Herons, Ibises, and Allies",,,,,,,,False,False,54,44
487,White-faced Ibis,White-faced Ibis,White-faced Ibis,"Pelicans, Herons, Ibises, and Allies",,,,,,,,False,False,32,34
488,Roseate Spoonbill,Roseate Spoonbill,Roseate Spoonbill,"Pelicans, Herons, Ibises, and Allies",,,,,,,,False,False,31,29
489,Black Vulture,Black Vulture,Black Vulture,"Hawks, Kites, Eagles, and Allies",,,,,,,,False,False,49,48
490,Turkey Vulture,Turkey Vulture,Turkey Vulture,"Hawks, Kites, Eagles, and Allies",,,,,,,,False,False,49,59
491,Osprey,Osprey,Osprey,"Hawks, Kites, Eagles, and Allies",,,,,,,,False,False,54,52
492,Swallow-tailed Kite,Swallow-tailed Kite,Swallow-tailed Kite,"Hawks, Kites, Eagles, and Allies",,,,,,,,False,False,24,29
493,White-tailed Kite,White-tailed Kite,White-tailed Kite,"Hawks, Kites, Eagles, and Allies",,,,,,,,False,False,59,13
494,Mississippi Kite,Mississippi Kite,Mississippi Kite,"Hawks, Kites, Eagles, and Allies",,,,,,,,False,False,30,50
495,Harris's Hawk,Harris's Hawk,Harris's Hawk,"Hawks, Kites, Eagles, and Allies",,,,,,,,False,False,52,43
496,Swainson's Hawk (Light morph ),Swainson's Hawk,Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",Light morph,light morph,,,,light,,False,False,38,39
497,Red-tailed Hawk (Dark morph),Red-tailed Hawk,Red-tailed Hawk,"Hawks, Kites, Eagles, and Allies",Dark morph,dark morph,,,,dark,,False,False,28,30
498,Crested Caracara,Crested Caracara,Crested Caracara,Caracaras and Falcons,,,,,,,,False,False,58,54
499,Merlin,Merlin,Merlin,Caracaras and Falcons,,,,,,,,False,False,60,58
500,Prairie Falcon,Prairie Falcon,Prairie Falcon,Caracaras and Falcons,,,,,,,,False,False,44,42
501,American Coot,American Coot,American Coot,Cranes and Rails,,,,,,,,False,False,60,60
502,Sandhill Crane,Sandhill Crane,Sandhill Crane,Cranes and Rails,,,,,,,,False,False,25,25
503,Semipalmated Plover,Semipalmated Plover,Semipalmated Plover,"Plovers, Sandpipers, and Allies",,,,,,,,False,False,57,54
504,Killdeer,Killdeer,Killdeer,"Plovers, Sandpipers, and Allies",,,,,,,,False,False,60,60
505,American Oystercatcher,American Oystercatcher,American Oystercatcher,"Plovers, Sandpipers, and Allies",,,,,,,,False,False,31,49
506,Black Oystercatcher,Black Oystercatcher,Black Oystercatcher,"Plovers, Sandpipers, and Allies",,,,,,,,False,False,16,49
507,Black-necked Stilt,Black-necked Stilt,Black-necked Stilt,"Plovers, Sandpipers, and Allies",,,,,,,,False,False,41,33
508,American Avocet,American Avocet,American Avocet,"Plovers, Sandpipers, and Allies",,,,,,,,False,False,48,54
509,Solitary Sandpiper,Solitary Sandpiper,Solitary Sandpiper,"Plovers, Sandpipers, and Allies",,,,,,,,False,False,60,56
510,Greater Yellowlegs,Greater Yellowlegs,Greater Yellowlegs,"Plovers, Sandpipers, and Allies",,,,,,,,False,False,54,59
511,Willet,Willet,Willet,"Plovers, Sandpipers, and Allies",,,,,,,,False,False,60,60
512,Lesser Yellowlegs,Lesser Yellowlegs,Lesser Yellowlegs,"Plovers, Sandpipers, and Allies",,,,,,,,False,False,60,60
513,Whimbrel,Whimbrel,Whimbrel,"Plovers, Sandpipers, and Allies",,,,,,,,False,False,50,51
514,Long-billed Curlew,Long-billed Curlew,Long-billed Curlew,"Plovers, Sandpipers, and Allies",,,,,,,,False,False,43,53
515,Marbled Godwit,Marbled Godwit,Marbled Godwit,"Plovers, Sandpipers, and Allies",,,,,,,,False,False,56,60
516,Ruddy Turnstone,Ruddy Turnstone,Ruddy Turnstone,"Plovers, Sandpipers, and Allies",,,,,,,,False,False,53,55
517,Black Turnstone,Black Turnstone,Black Turnstone,"Plovers, Sandpipers, and Allies",,,,,,,,False,False,39,47
518,Surfbird,Surfbird,Surfbird,"Plovers, Sandpipers, and Allies",,,,,,,,False,False,23,40
519,Semipalmated Sandpiper,Semipalmated Sandpiper,Semipalmated Sandpiper,"Plovers, Sandpipers, and Allies",,,,,,,,False,False,45,60
520,Western Sandpiper,Western Sandpiper,Western Sandpiper,"Plovers, Sandpipers, and Allies",,,,,,,,False,False,41,51
521,Least Sandpiper,Least Sandpiper,Least Sandpiper,"Plovers, Sandpipers, and Allies",,,,,,,,False,False,60,60
522,Short-billed Dowitcher,Short-billed Dowitcher,Short-billed Dowitcher,"Plovers, Sandpipers, and Allies",,,,,,,,False,False,60,60
523,Wilson's Snipe,Wilson's Snipe,Wilson's Snipe,"Plovers, Sandpipers, and Allies",,,,,,,,False,False,55,55
524,American Woodcock,American Woodcock,American Woodcock,"Plovers, Sandpipers, and Allies",,,,,,,,False,False,24,30
525,Rock Pigeon,Rock Pigeon,Rock Pigeon,Pigeons and Doves,,,,,,,,False,False,47,58
526,Band-tailed Pigeon,Band-tailed Pigeon,Band-tailed Pigeon,Pigeons and Doves,,,,,,,,False,False,35,40
527,Eurasian Collared-Dove,Eurasian Collared-Dove,Eurasian Collared-Dove,Pigeons and Doves,,,,,,,,False,False,58,59
528,White-winged Dove,White-winged Dove,White-winged Dove,Pigeons and Doves,,,,,,,,False,False,60,57
529,Mourning Dove,Mourning Dove,Mourning Dove,Pigeons and Doves,,,,,,,,False,False,60,60
530,Inca Dove,Inca Dove,Inca Dove,Pigeons and Doves,,,,,,,,False,False,53,50
531,Common Ground-Dove,Common Ground-Dove,Common Ground-Dove,Pigeons and Doves,,,,,,,,False,False,40,35
532,Monk Parakeet,Monk Parakeet,Monk Parakeet,Parrots,,,,,,,,False,False,18,28
533,Yellow-billed Cuckoo,Yellow-billed Cuckoo,Yellow-billed Cuckoo,Cuckoos,,,,,,,,False,False,47,47
534,Black-billed Cuckoo,Black-billed Cuckoo,Black-billed Cuckoo,Cuckoos,,,,,,,,False,False,39,32
535,Greater Roadrunner,Greater Roadrunner,Greater Roadrunner,Cuckoos,,,,,,,,False,False,31,34
536,Barn Owl,Barn Owl,Barn Owl,Owls,,,,,,,,False,False,57,52
537,Western Screech-Owl,Western Screech-Owl,Western Screech-Owl,Owls,,,,,,,,False,False,40,34
538,Eastern Screech-Owl,Eastern Screech-Owl,Eastern Screech-Owl,Owls,,,,,,,,False,False,44,50
539,Great Horned Owl,Great Horned Owl,Great Horned Owl,Owls,,,,,,,,False,False,57,46
540,Snowy Owl,Snowy Owl,Snowy Owl,Owls,,,,,,,,False,False,26,46
541,Northern Pygmy-Owl,Northern Pygmy-Owl,Northern Pygmy-Owl,Owls,,,,,,,,False,False,53,50
542,Burrowing Owl,Burrowing Owl,Burrowing Owl,Owls,,,,,,,,False,False,56,43
543,Barred Owl,Barred Owl,Barred Owl,Owls,,,,,,,,False,False,60,60
544,Northern Saw-whet Owl,Northern Saw-whet Owl,Northern Saw-whet Owl,Owls,,,,,,,,False,False,53,45
545,Common Nighthawk,Common Nighthawk,Common Nighthawk,Nightjars,,,,,,,,False,False,47,39
546,Chimney Swift,Chimney Swift,Chimney Swift,Swifts and Hummingbirds,,,,,,,,False,False,24,33
547,Vaux's Swift,Vaux's Swift,Vaux's Swift,Swifts and Hummingbirds,,,,,,,,False,False,25,28
548,White-throated Swift,White-throated Swift,White-throated Swift,Swifts and Hummingbirds,,,,,,,,False,False,26,40
549,Belted Kingfisher,Belted Kingfisher,Belted Kingfisher,Kingfishers and Allies,,,,,,,,False,False,49,60
550,Acorn Woodpecker,Acorn Woodpecker,Acorn Woodpecker,Woodpeckers,,,,,,,,False,False,41,58
551,Gila Woodpecker,Gila Woodpecker,Gila Woodpecker,Woodpeckers,,,,,,,,False,False,47,50
552,Golden-fronted Woodpecker,Golden-fronted Woodpecker,Golden-fronted Woodpecker,Woodpeckers,,,,,,,,False,False,44,33
553,Red-bellied Woodpecker,Red-bellied Woodpecker,Red-bellied Woodpecker,Woodpeckers,,,,,,,,False,False,60,60
554,Yellow-bellied Sapsucker,Yellow-bellied Sapsucker,Yellow-bellied Sapsucker,Woodpeckers,,,,,,,,False,False,60,59
555,Red-naped Sapsucker,Red-naped Sapsucker,Red-naped Sapsucker,Woodpeckers,,,,,,,,False,False,44,54
556,Red-breasted Sapsucker,Red-breasted Sapsucker,Red-breasted Sapsucker,Woodpeckers,,,,,,,,False,False,43,42
557,Ladder-backed Woodpecker,Ladder-backed Woodpecker,Ladder-backed Woodpecker,Woodpeckers,,,,,,,,False,False,49,50
558,Nuttall's Woodpecker,Nuttall's Woodpecker,Nuttall's Woodpecker,Woodpeckers,,,,,,,,False,False,47,45
559,Downy Woodpecker,Downy Woodpecker,Downy Woodpecker,Woodpeckers,,,,,,,,False,False,60,60
560,Hairy Woodpecker,Hairy Woodpecker,Hairy Woodpecker,Woodpeckers,,,,,,,,False,False,58,60
561,Pileated Woodpecker,Pileated Woodpecker,Pileated Woodpecker,Woodpeckers,,,,,,,,False,False,59,60
599,"Black Guillemot (Nonbreeding, juvenile)",Black Guillemot,Black Guillemot,Skuas and Alcids,"Nonbreeding, juvenile",nonbreeding or juvenile,,juvenile,nonbreeding,,,False,False,21,12
600,"Pigeon Guillemot (Nonbreeding, juvenile)",Pigeon Guillemot,Pigeon Guillemot,Skuas and Alcids,"Nonbreeding, juvenile",nonbreeding or juvenile,,juvenile,nonbreeding,,,False,False,20,17
601,Black-legged Kittiwake (Immature),Black-legged Kittiwake,Black-legged Kittiwake,"Gulls, Terns, and Allies",Immature,immature,,immature,,,,False,False,35,19
602,Laughing Gull (Nonbreeding/Immature),Laughing Gull,Laughing Gull,"Gulls, Terns, and Allies",Nonbreeding/Immature,nonbreeding or immature,,immature,nonbreeding,,,False,False,41,45
603,Heermann's Gull (Immature),Heermann's Gull,Heermann's Gull,"Gulls, Terns, and Allies",Immature,immature,,immature,,,,False,False,25,22
604,Ring-billed Gull (Immature),Ring-billed Gull,Ring-billed Gull,"Gulls, Terns, and Allies",Immature,immature,,immature,,,,False,False,44,36
