species_class_id,common_name,query_used,scientific_name,kingdom,phylum,class,order,family,genus,match,n_vernacular
108,Bald Eagle,Bald Eagle,Haliaeetus leucocephalus,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,vernacular_exact,145
742,Baltimore Oriole,Baltimore Oriole,Icterus galbula,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,vernacular_exact,113
76,Band-tailed Pigeon,Band-tailed Pigeon,Patagioenas fasciata,Animalia,Chordata,Aves,Columbiformes,Columbidae,Patagioenas,vernacular_exact,70
571,Bank Swallow,Bank Swallow,Riparia riparia,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Riparia,vernacular_exact,285
37,Barn Owl,Barn Owl,Tyto alba,Animalia,Chordata,Aves,Strigiformes,Tytonidae,Tyto,vernacular_exact,318
730,Barn Swallow,Barn Swallow,Hirundo rustica,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo,vernacular_exact,325
205,Barred Owl,Barred Owl,Strix varia,Animalia,Chordata,Aves,Strigiformes,Strigidae,Strix,vernacular_exact,83
219,Barrow's Goldeneye,Barrow's Goldeneye,Bucephala islandica,Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala,vernacular_exact,111
443,Bay-breasted Warbler,Bay-breasted Warbler,Setophaga castanea,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,vernacular_exact,79
285,Bell's Vireo,Bell's Vireo,Vireo bellii,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,vernacular_exact,52
142,Belted Kingfisher,Belted Kingfisher,Megaceryle alcyon,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Megaceryle,vernacular_exact,106
422,Bewick's Wren,Bewick's Wren,Thryomanes bewickii,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Thryomanes,vernacular_exact,59
144,Black Guillemot,Black Guillemot,Cepphus grylle,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Cepphus,vernacular_exact,170
39,Black Oystercatcher,Black Oystercatcher,Haematopus bachmani,Animalia,Chordata,Aves,Charadriiformes,Haematopodidae,Haematopus,vernacular_exact,75
409,Black Phoebe,Black Phoebe,Sayornis nigricans,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Sayornis,vernacular_exact,71
269,Black Rosy-Finch,Black Rosy-Finch,Leucosticte atrata,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Leucosticte,vernacular_exact,55
201,Black Scoter,Black Scoter,Melanitta nigra,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,vernacular_exact,193
250,Black Skimmer,Black Skimmer,Rynchops niger,Animalia,Chordata,Aves,Charadriiformes,Laridae,Rynchops,vernacular_exact,66
246,Black Tern,Black Tern,Chlidonias niger,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chlidonias,vernacular_exact,227
100,Black Turnstone,Black Turnstone,Arenaria melanocephala,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Arenaria,vernacular_exact,71
28,Black Vulture,Coragyps atratus,Coragyps atratus,Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Coragyps,vernacular_exact,123
272,Black-and-white Warbler,Black-and-white Warbler,Mniotilta varia,Animalia,Chordata,Aves,Passeriformes,Parulidae,Mniotilta,vernacular_exact,118
23,Black-bellied Plover,Black-bellied Plover,Pluvialis squatarola,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,vernacular_exact,243
24,Black-bellied Whistling-Duck,Black-bellied Whistling-Duck,Dendrocygna autumnalis,Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,vernacular_exact,143
139,Black-billed Cuckoo,Black-billed Cuckoo,Coccyzus erythropthalmus,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Coccyzus,vernacular_exact,109
566,Black-billed Magpie,Pica hudsonia,Pica hudsonia,Animalia,Chordata,Aves,Passeriformes,Corvidae,Pica,vernacular_exact,67
278,Black-capped Chickadee,Black-capped Chickadee,Poecile atricapillus,Animalia,Chordata,Aves,Passeriformes,Paridae,Poecile,vernacular_exact,69
123,Black-chinned Hummingbird,Black-chinned Hummingbird,Archilochus alexandri,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,vernacular_exact,54
734,Black-crested Titmouse,Black-crested Titmouse,Baeolophus atricristatus,Animalia,Chordata,Aves,Passeriformes,Paridae,Baeolophus,vernacular_exact,51
173,Black-crowned Night-Heron,Black-crowned Night-Heron,Nycticorax nycticorax,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Nycticorax,vernacular_exact,284
568,Black-headed Grosbeak,Black-headed Grosbeak,Pheucticus melanocephalus,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Pheucticus,vernacular_exact,62
145,Black-legged Kittiwake,Black-legged Kittiwake,Rissa tridactyla,Animalia,Chordata,Aves,Charadriiformes,Laridae,Rissa,vernacular_exact,223
46,Black-necked Stilt,Black-necked Stilt,Himantopus mexicanus,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Himantopus,vernacular_exact,137
594,Black-tailed Gnatcatcher,Black-tailed Gnatcatcher,Polioptila melanura,Animalia,Chordata,Aves,Passeriformes,Polioptilidae,Polioptila,vernacular_exact,49
589,Black-throated Blue Warbler,Black-throated Blue Warbler,Setophaga caerulescens,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,vernacular_exact,74
713,Black-throated Gray Warbler,Black-throated Gray Warbler,Setophaga nigrescens,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,vernacular_exact,57
732,Black-throated Green Warbler,Black-throated Green Warbler,Setophaga virens,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,vernacular_exact,76
564,Blackburnian Warbler,Blackburnian Warbler,Setophaga fusca,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,vernacular_exact,85
582,Blackpoll Warbler,Blackpoll Warbler,Setophaga striata,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,vernacular_exact,103
584,Blue Grosbeak,Blue Grosbeak,Passerina caerulea,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Passerina,vernacular_exact,84
286,Blue Jay,Blue Jay,Cyanocitta cristata,Animalia,Chordata,Aves,Passeriformes,Corvidae,Cyanocitta,vernacular_exact,107
387,Blue-gray Gnatcatcher,Blue-gray Gnatcatcher,Polioptila caerulea,Animalia,Chordata,Aves,Passeriformes,Polioptilidae,Polioptila,vernacular_exact,75
580,Blue-headed Vireo,Blue-headed Vireo,Vireo solitarius,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,vernacular_exact,72
116,Blue-winged Teal,Blue-winged Teal,Spatula discors,Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula,vernacular_exact,128
266,Blue-winged Warbler,Blue-winged Warbler,Vermivora cyanoptera,Animalia,Chordata,Aves,Passeriformes,Parulidae,Vermivora,vernacular_exact,70
565,Boat-tailed Grackle,Boat-tailed Grackle,Quiscalus major,Animalia,Chordata,Aves,Passeriformes,Icteridae,Quiscalus,vernacular_exact,69
254,Bobolink,Bobolink,Dolichonyx oryzivorus,Animalia,Chordata,Aves,Passeriformes,Icteridae,Dolichonyx,vernacular_exact,98
390,Bohemian Waxwing,Bohemian Waxwing,Bombycilla garrulus,Animalia,Chordata,Aves,Passeriformes,Bombycillidae,Bombycilla,vernacular_exact,182
191,Bonaparte's Gull,Bonaparte's Gull,Chroicocephalus philadelphia,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus,vernacular_exact,97
424,Boreal Chickadee,Boreal Chickadee,Poecile hudsonicus,Animalia,Chordata,Aves,Passeriformes,Paridae,Poecile,vernacular_exact,21
75,Brandt's Cormorant,Brandt's Cormorant,Urile penicillatus,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Urile,vernacular_exact,61
42,Brant,Brant,Branta bernicla,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,vernacular_exact,210
416,Brewer's Blackbird,Brewer's Blackbird,Euphagus cyanocephalus,Animalia,Chordata,Aves,Passeriformes,Icteridae,Euphagus,vernacular_exact,68
418,Brewer's Sparrow,Brewer's Sparrow,Spizella breweri,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Spizella,vernacular_exact,56
569,Bridled Titmouse,Bridled Titmouse,Baeolophus wollweberi,Animalia,Chordata,Aves,Passeriformes,Paridae,Baeolophus,vernacular_exact,55
90,Broad-billed Hummingbird,Broad-billed Hummingbird,Cynanthus latirostris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Cynanthus,vernacular_exact,54
200,Broad-tailed Hummingbird,Broad-tailed Hummingbird,Selasphorus platycercus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,vernacular_exact,52
186,Broad-winged Hawk,Broad-winged Hawk,Buteo platypterus,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,vernacular_exact,87
590,Bronzed Cowbird,Bronzed Cowbird,Molothrus aeneus,Animalia,Chordata,Aves,Passeriformes,Icteridae,Molothrus,vernacular_exact,70
435,Brown Creeper,Brown Creeper,Certhia americana,Animalia,Chordata,Aves,Passeriformes,Certhiidae,Certhia,vernacular_exact,79
41,Brown Pelican,Brown Pelican,Pelecanus occidentalis,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,vernacular_exact,97
438,Brown Thrasher,Brown Thrasher,Toxostoma rufum,Animalia,Chordata,Aves,Passeriformes,Mimidae,Toxostoma,vernacular_exact,96
280,Brown-capped Rosy-Finch,Brown-capped Rosy-Finch,Leucosticte australis,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Leucosticte,vernacular_exact,53
690,Brown-headed Cowbird,Brown-headed Cowbird,Molothrus ater,Animalia,Chordata,Aves,Passeriformes,Icteridae,Molothrus,vernacular_exact,88
711,Brown-headed Nuthatch,Brown-headed Nuthatch,Sitta pusilla,Animalia,Chordata,Aves,Passeriformes,Sittidae,Sitta,vernacular_exact,50
209,Bufflehead,Bufflehead,Bucephala albeola,Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala,vernacular_exact,106
728,Bullock's Oriole,Bullock's Oriole,Icterus bullockii,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,vernacular_exact,60
182,Burrowing Owl,Burrowing Owl,Athene cunicularia,Animalia,Chordata,Aves,Strigiformes,Strigidae,Athene,vernacular_exact,108
434,Bushtit,Bushtit,Psaltriparus minimus,Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Psaltriparus,vernacular_exact,67
51,Cackling Goose,Cackling Goose,Branta hutchinsii,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,vernacular_exact,92
265,Cactus Wren,Cactus Wren,Campylorhynchus brunneicapillus,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Campylorhynchus,vernacular_exact,50
241,California Gull,California Gull,Larus californicus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,vernacular_exact,64
73,California Quail,California Quail,Callipepla californica,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Callipepla,vernacular_exact,90
720,California Thrasher,California Thrasher,Toxostoma redivivum,Animalia,Chordata,Aves,Passeriformes,Mimidae,Toxostoma,vernacular_exact,51
290,California Towhee,California Towhee,Melozone crissalis,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melozone,vernacular_exact,49
180,Calliope Hummingbird,Calliope Hummingbird,Selasphorus calliope,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,vernacular_exact,42
57,Canada Goose,Canada Goose,Branta canadensis,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,vernacular_exact,214
736,Canada Warbler,Canada Warbler,Cardellina canadensis,Animalia,Chordata,Aves,Passeriformes,Parulidae,Cardellina,vernacular_exact,73
153,Canvasback,Canvasback,Aythya valisineria,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,vernacular_exact,111
282,Canyon Towhee,Canyon Towhee,Melozone fusca,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melozone,vernacular_exact,56
288,Canyon Wren,Canyon Wren,Catherpes mexicanus,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Catherpes,vernacular_exact,47
417,Cape May Warbler,Cape May Warbler,Setophaga tigrina,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,vernacular_exact,74
261,Carolina Chickadee,Carolina Chickadee,Poecile carolinensis,Animalia,Chordata,Aves,Passeriformes,Paridae,Poecile,vernacular_exact,49
386,Carolina Wren,Carolina Wren,Thryothorus ludovicianus,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Thryothorus,vernacular_exact,71
245,Caspian Tern,Caspian Tern,Hydroprogne caspia,Animalia,Chordata,Aves,Charadriiformes,Laridae,Hydroprogne,vernacular_exact,162
408,Cassin's Finch,Cassin's Finch,Haemorhous cassinii,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Haemorhous,vernacular_exact,47
701,Cassin's Kingbird,Cassin's Kingbird,Tyrannus vociferans,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tyrannus,vernacular_exact,58
563,Cassin's Vireo,Cassin's Vireo,Vireo cassinii,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,vernacular_exact,44
148,Cattle Egret,Cattle Egret,Bubulcus ibis,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Bubulcus,vernacular_exact,103
707,Cave Swallow,Cave Swallow,Petrochelidon fulva,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Petrochelidon,vernacular_exact,67
597,Cedar Waxwing,Cedar Waxwing,Bombycilla cedrorum,Animalia,Chordata,Aves,Passeriformes,Bombycillidae,Bombycilla,vernacular_exact,96
406,Chestnut-backed Chickadee,Chestnut-backed Chickadee,Poecile rufescens,Animalia,Chordata,Aves,Passeriformes,Paridae,Poecile,vernacular_exact,45
577,Chestnut-sided Warbler,Chestnut-sided Warbler,Setophaga pensylvanica,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,vernacular_exact,78
725,Chihuahuan Raven,Chihuahuan Raven,Corvus cryptoleucus,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,vernacular_exact,56
34,Chimney Swift,Chimney Swift,Chaetura pelagica,Animalia,Chordata,Aves,Apodiformes,Apodidae,Chaetura,vernacular_exact,118
403,Chipping Sparrow,Chipping Sparrow,Spizella passerina,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Spizella,vernacular_exact,75
122,Cinnamon Teal,Cinnamon Teal,Spatula cyanoptera,Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula,vernacular_exact,87
215,Clark's Grebe,Clark's Grebe,Aechmophorus clarkii,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Aechmophorus,vernacular_exact,56
428,Clark's Nutcracker,Clark's Nutcracker,Nucifraga columbiana,Animalia,Chordata,Aves,Passeriformes,Corvidae,Nucifraga,vernacular_exact,72
410,Clay-colored Sparrow,Clay-colored Sparrow,Spizella pallida,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Spizella,vernacular_exact,65
592,Cliff Swallow,Cliff Swallow,Petrochelidon pyrrhonota,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Petrochelidon,vernacular_exact,123
179,Common Eider,Common Eider,Somateria mollissima,Animalia,Chordata,Aves,Anseriformes,Anatidae,Somateria,vernacular_exact,233
110,Common Gallinule,Common Gallinule,Gallinula chloropus,Animalia,Chordata,Aves,Gruiformes,Rallidae,Gallinula,vernacular_exact,193
214,Common Goldeneye,Common Goldeneye,Bucephala clangula,Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala,vernacular_exact,213
429,Common Grackle,Common Grackle,Quiscalus quiscula,Animalia,Chordata,Aves,Passeriformes,Icteridae,Quiscalus,vernacular_exact,81
222,Common Ground-Dove,Common Ground-Dove,Columbina passerina,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columbina,vernacular_exact,82
194,Common Loon,Common Loon,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,vernacular_exact,209
229,Common Merganser,Common Merganser,Mergus merganser,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergus,vernacular_exact,203
141,Common Nighthawk,Common Nighthawk,Chordeiles minor,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,vernacular_exact,115
739,Common Raven,Common Raven,Corvus corax,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,vernacular_exact,286
585,Common Redpoll,Common Redpoll,Acanthis flammea,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Acanthis,vernacular_exact,174
247,Common Tern,Common Tern,Sterna hirundo,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,vernacular_exact,216
391,Common Yellowthroat,Common Yellowthroat,Geothlypis trichas,Animalia,Chordata,Aves,Passeriformes,Parulidae,Geothlypis,vernacular_exact,125
155,Cooper's Hawk,Cooper's Hawk,Accipiter cooperii,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,vernacular_exact,25
312,Cordilleran Flycatcher,Empidonax occidentalis,Empidonax occidentalis,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,vernacular_exact,11
167,Costa's Hummingbird,Costa's Hummingbird,Calypte costae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Calypte,vernacular_exact,53
54,Crested Caracara,Crested Caracara,Caracara plancus,Animalia,Chordata,Aves,Falconiformes,Falconidae,Caracara,vernacular_exact,114
596,Curve-billed Thrasher,Curve-billed Thrasher,Toxostoma curvirostre,Animalia,Chordata,Aves,Passeriformes,Mimidae,Toxostoma,vernacular_exact,56
744,Dark-eyed Junco,Dark-eyed Junco,Junco hyemalis,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Junco,vernacular_exact,102
738,Dickcissel,Dickcissel,Spiza americana,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Spiza,vernacular_exact,85
134,Double-crested Cormorant,Double-crested Cormorant,Phalacrocorax auritus,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,vernacular_exact,39
188,Downy Woodpecker,Downy Woodpecker,Dryobates pubescens,Animalia,Chordata,Aves,Piciformes,Picidae,Dryobates,vernacular_exact,50
129,Dunlin,Dunlin,Calidris alpina,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,vernacular_exact,238
157,Eared Grebe,Eared Grebe,Podiceps nigricollis,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,vernacular_exact,213
262,Eastern Bluebird,Eastern Bluebird,Sialia sialis,Animalia,Chordata,Aves,Passeriformes,Turdidae,Sialia,vernacular_exact,83
727,Eastern Kingbird,Eastern Kingbird,Tyrannus tyrannus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tyrannus,vernacular_exact,99
277,Eastern Meadowlark,Eastern Meadowlark,Sturnella magna,Animalia,Chordata,Aves,Passeriformes,Icteridae,Sturnella,vernacular_exact,95
420,Eastern Phoebe,Eastern Phoebe,Sayornis phoebe,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Sayornis,vernacular_exact,76
88,Eastern Screech-Owl,Eastern Screech-Owl,Megascops asio,Animalia,Chordata,Aves,Strigiformes,Strigidae,Megascops,vernacular_exact,81
267,Eastern Towhee,Eastern Towhee,Pipilo erythrophthalmus,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Pipilo,vernacular_exact,91
270,Eastern Wood-Pewee,Eastern Wood-Pewee,Contopus virens,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Contopus,vernacular_exact,90
105,Eurasian Collared-Dove,Eurasian Collared-Dove,Streptopelia decaocto,Animalia,Chordata,Aves,Columbiformes,Columbidae,Streptopelia,vernacular_exact,211
439,European Starling,European Starling,Sturnus vulgaris,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Sturnus,vernacular_exact,290
740,Evening Grosbeak,Evening Grosbeak,Hesperiphona vespertina,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Hesperiphona,vernacular_exact,52
426,Field Sparrow,Field Sparrow,Spizella pusilla,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Spizella,vernacular_exact,68
710,Fish Crow,Fish Crow,Corvus ossifragus,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,vernacular_exact,59
301,Florida Scrub-Jay,Florida Scrub-Jay,Aphelocoma coerulescens,Animalia,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,vernacular_exact,84
248,Forster's Tern,Forster's Tern,Sterna forsteri,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,vernacular_exact,129
591,Fox Sparrow,Fox Sparrow,Passerella iliaca,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Passerella,vernacular_exact,106
87,Gadwall,Gadwall,Mareca strepera,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mareca,vernacular_exact,151
103,Gambel's Quail,Gambel's Quail,Callipepla gambelii,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Callipepla,vernacular_exact,69
63,Gila Woodpecker,Gila Woodpecker,Melanerpes uropygialis,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,vernacular_exact,47
243,Glaucous-winged Gull,Glaucous-winged Gull,Larus glaucescens,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,vernacular_exact,81
208,Glossy Ibis,Glossy Ibis,Plegadis falcinellus,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Plegadis,vernacular_exact,216
234,Golden Eagle,Golden Eagle,Aquila chrysaetos,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,vernacular_exact,245
388,Golden-crowned Kinglet,Golden-crowned Kinglet,Regulus satrapa,Animalia,Chordata,Aves,Passeriformes,Regulidae,Regulus,vernacular_exact,68
737,Golden-crowned Sparrow,Golden-crowned Sparrow,Zonotrichia atricapilla,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Zonotrichia,vernacular_exact,61
79,Golden-fronted Woodpecker,Golden-fronted Woodpecker,Melanerpes aurifrons,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,vernacular_exact,55
275,Gray Catbird,Gray Catbird,Dumetella carolinensis,Animalia,Chordata,Aves,Passeriformes,Mimidae,Dumetella,vernacular_exact,114
257,Gray Jay,Gray Jay,Perisoreus canadensis,Animalia,Chordata,Aves,Passeriformes,Corvidae,Perisoreus,vernacular_exact,94
255,Gray-crowned Rosy-Finch,Gray-crowned Rosy-Finch,Leucosticte tephrocotis,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Leucosticte,vernacular_exact,61
244,Great Black-backed Gull,Great Black-backed Gull,Larus marinus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,vernacular_exact,197
58,Great Blue Heron,Great Blue Heron,Ardea herodias,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,vernacular_exact,122
170,Great Cormorant,Great Cormorant,Phalacrocorax carbo,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,vernacular_exact,291
684,Great Crested Flycatcher,Great Crested Flycatcher,Myiarchus crinitus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Myiarchus,vernacular_exact,71
71,Great Egret,Great Egret,Ardea alba,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,vernacular_exact,148
111,Great Horned Owl,Great Horned Owl,Bubo virginianus,Animalia,Chordata,Aves,Strigiformes,Strigidae,Bubo,vernacular_exact,117
578,Great-tailed Grackle,Great-tailed Grackle,Quiscalus mexicanus,Animalia,Chordata,Aves,Passeriformes,Icteridae,Quiscalus,vernacular_exact,85
197,Greater Roadrunner,Greater Roadrunner,Geococcyx californianus,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Geococcyx,vernacular_exact,72
168,Greater Scaup,Greater Scaup,Aythya marila,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,vernacular_exact,238
27,Greater White-fronted Goose,Greater White-fronted Goose,Anser albifrons,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,vernacular_exact,226
65,Greater Yellowlegs,Greater Yellowlegs,Tringa melanoleuca,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,vernacular_exact,153
160,Green Heron,Green Heron,Butorides virescens,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Butorides,vernacular_exact,153
252,Green-tailed Towhee,Green-tailed Towhee,Pipilo chlorurus,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Pipilo,vernacular_exact,60
147,Green-winged Teal,Anas carolinensis,Anas carolinensis,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,vernacular_exact,85
