species_class_id,common_name,gbif_scientific,tol_kingdom,tol_phylum,tol_class,tol_order,tol_family,tol_genus,tol_epithet,tol_common,tol_match,tol_scientific
440,American Pipit,Anthus rubescens,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,rubescens,American Pipit,common_name,Anthus rubescens
412,American Redstart,Setophaga ruticilla,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,ruticilla,American Redstart,common_name,Setophaga ruticilla
718,American Robin,Turdus migratorius,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,migratorius,American Robin,common_name,Turdus migratorius
309,American Tree Sparrow,Spizelloides arborea,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Spizella,arborea,american tree sparrow,common_name,Spizella arborea
29,American White Pelican,Pelecanus erythrorhynchos,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,erythrorhynchos,American White Pelican,common_name,Pelecanus erythrorhynchos
92,American Wigeon,Mareca americana,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,americana,american wigeon,common_name,Anas americana
154,American Woodcock,Scolopax minor,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Scolopax,minor,American Woodcock,common_name,Scolopax minor
221,Anhinga,Anhinga anhinga,Animalia,Chordata,Aves,Suliformes,Anhingidae,Anhinga,anhinga,Anhinga,common_name,Anhinga anhinga
152,Anna's Hummingbird,Calypte anna,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Calypte,anna,Anna's Hummingbird,common_name,Calypte anna
586,Ash-throated Flycatcher,Myiarchus cinerascens,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Myiarchus,cinerascens,Ash-throated Flycatcher,common_name,Myiarchus cinerascens
108,Bald Eagle,Haliaeetus leucocephalus,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,leucocephalus,Bald Eagle,common_name,Haliaeetus leucocephalus
742,Baltimore Oriole,Icterus galbula,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,galbula,Baltimore Oriole,common_name,Icterus galbula
76,Band-tailed Pigeon,Patagioenas fasciata,Animalia,Chordata,Aves,Columbiformes,Columbidae,Patagioenas,fasciata,Band-tailed Pigeon,common_name,Patagioenas fasciata
571,Bank Swallow,Riparia riparia,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Riparia,riparia,Bank Swallow,common_name,Riparia riparia
37,Barn Owl,Tyto alba,Animalia,Chordata,Aves,Strigiformes,Strigidae,Strix,flammea,barn owl,common_name,Strix flammea
730,Barn Swallow,Hirundo rustica,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo,rustica,Barn Swallow,common_name,Hirundo rustica
205,Barred Owl,Strix varia,Animalia,Chordata,Aves,Strigiformes,Strigidae,Strix,varia,Barred Owl,common_name,Strix varia
219,Barrow's Goldeneye,Bucephala islandica,Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala,islandica,Barrow's Goldeneye,common_name,Bucephala islandica
443,Bay-breasted Warbler,Setophaga castanea,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,castanea,Bay-breasted Warbler,common_name,Setophaga castanea
285,Bell's Vireo,Vireo bellii,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,bellii,Least Bell's Vireo,binomial,Vireo bellii
142,Belted Kingfisher,Megaceryle alcyon,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Megaceryle,alcyon,Belted Kingfisher,common_name,Megaceryle alcyon
422,Bewick's Wren,Thryomanes bewickii,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Thryomanes,bewickii,San Clemente Bewick's wren,binomial,Thryomanes bewickii
144,Black Guillemot,Cepphus grylle,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Cepphus,grylle,Black Guillemot,common_name,Cepphus grylle
39,Black Oystercatcher,Haematopus bachmani,Animalia,Chordata,Aves,Charadriiformes,Haematopodidae,Haematopus,bachmani,American Black Oystercatcher,binomial,Haematopus bachmani
409,Black Phoebe,Sayornis nigricans,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Sayornis,nigricans,Black Phoebe,common_name,Sayornis nigricans
269,Black Rosy-Finch,Leucosticte atrata,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Leucosticte,atrata,Black Rosy Finch,binomial,Leucosticte atrata
201,Black Scoter,Melanitta nigra,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,nigra,Black Scoter,common_name,Melanitta nigra
250,Black Skimmer,Rynchops niger,Animalia,Chordata,Aves,Charadriiformes,Laridae,Rynchops,niger,Black Skimmer,common_name,Rynchops niger
246,Black Tern,Chlidonias niger,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chlidonias,niger,Black Tern,common_name,Chlidonias niger
100,Black Turnstone,Arenaria melanocephala,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Arenaria,melanocephala,Black Turnstone,common_name,Arenaria melanocephala
28,Black Vulture,Coragyps atratus,Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Coragyps,atratus,Black Vulture,common_name,Coragyps atratus
272,Black-and-white Warbler,Mniotilta varia,Animalia,Chordata,Aves,Passeriformes,Parulidae,Mniotilta,varia,Black-and-white Warbler,common_name,Mniotilta varia
23,Black-bellied Plover,Pluvialis squatarola,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,squatarola,Black-bellied Plover,common_name,Pluvialis squatarola
24,Black-bellied Whistling-Duck,Dendrocygna autumnalis,Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,autumnalis,Southern black-bellied Whistling Duck,binomial,Dendrocygna autumnalis
139,Black-billed Cuckoo,Coccyzus erythropthalmus,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Coccyzus,erythropthalmus,Black-billed Cuckoo,common_name,Coccyzus erythropthalmus
566,Black-billed Magpie,Pica hudsonia,Animalia,Chordata,Aves,Passeriformes,Corvidae,Pica,hudsonia,Black-billed Magpie,common_name,Pica hudsonia
278,Black-capped Chickadee,Poecile atricapillus,Animalia,Chordata,Aves,Passeriformes,Paridae,Poecile,atricapillus,Black-capped Chickadee,common_name,Poecile atricapillus
123,Black-chinned Hummingbird,Archilochus alexandri,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,alexandri,Black-chinned Hummingbird,common_name,Archilochus alexandri
734,Black-crested Titmouse,Baeolophus atricristatus,Animalia,Chordata,Aves,Passeriformes,Paridae,Baeolophus,atricristatus,Black-crested Titmouse,common_name,Baeolophus atricristatus
173,Black-crowned Night-Heron,Nycticorax nycticorax,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Nycticorax,nycticorax,Black-crowned Night Heron,binomial,Nycticorax nycticorax
568,Black-headed Grosbeak,Pheucticus melanocephalus,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Pheucticus,melanocephalus,Black-headed Grosbeak,common_name,Pheucticus melanocephalus
145,Black-legged Kittiwake,Rissa tridactyla,Animalia,Chordata,Aves,Charadriiformes,Laridae,Rissa,tridactyla,Black-legged Kittiwake,common_name,Rissa tridactyla
46,Black-necked Stilt,Himantopus mexicanus,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Himantopus,mexicanus,Black-necked Stilt,common_name,Himantopus mexicanus
594,Black-tailed Gnatcatcher,Polioptila melanura,Animalia,Chordata,Aves,Passeriformes,Polioptilidae,Polioptila,melanura,Black-tailed Gnatcatcher,common_name,Polioptila melanura
589,Black-throated Blue Warbler,Setophaga caerulescens,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,caerulescens,Black-throated Blue Warbler,common_name,Setophaga caerulescens
713,Black-throated Gray Warbler,Setophaga nigrescens,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,nigrescens,Black-throated Gray Warbler,common_name,Setophaga nigrescens
732,Black-throated Green Warbler,Setophaga virens,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,virens,Black-throated Green Warbler,common_name,Setophaga virens
564,Blackburnian Warbler,Setophaga fusca,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,fusca,Blackburnian Warbler,common_name,Setophaga fusca
582,Blackpoll Warbler,Setophaga striata,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,striata,Blackpoll Warbler,common_name,Setophaga striata
584,Blue Grosbeak,Passerina caerulea,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Passerina,caerulea,Blue Grosbeak,common_name,Passerina caerulea
286,Blue Jay,Cyanocitta cristata,Animalia,Chordata,Aves,Passeriformes,Corvidae,Cyanocitta,cristata,Blue Jay,common_name,Cyanocitta cristata
387,Blue-gray Gnatcatcher,Polioptila caerulea,Animalia,Chordata,Aves,Passeriformes,Polioptilidae,Polioptila,caerulea,Blue-gray Gnatcatcher,common_name,Polioptila caerulea
580,Blue-headed Vireo,Vireo solitarius,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,solitarius,Blue-headed Vireo,common_name,Vireo solitarius
116,Blue-winged Teal,Spatula discors,Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula,discors,Blue-winged Teal,common_name,Spatula discors
266,Blue-winged Warbler,Vermivora cyanoptera,Animalia,Chordata,Aves,Passeriformes,Parulidae,Vermivora,cyanoptera,Blue-winged Warbler,common_name,Vermivora cyanoptera
565,Boat-tailed Grackle,Quiscalus major,Animalia,Chordata,Aves,Passeriformes,Icteridae,Quiscalus,major,Boat-tailed Grackle,common_name,Quiscalus major
254,Bobolink,Dolichonyx oryzivorus,Animalia,Chordata,Aves,Passeriformes,Icteridae,Dolichonyx,oryzivorus,Bobolink,common_name,Dolichonyx oryzivorus
390,Bohemian Waxwing,Bombycilla garrulus,Animalia,Chordata,Aves,Passeriformes,Bombycillidae,Bombycilla,garrulus,Bohemian Waxwing,common_name,Bombycilla garrulus
191,Bonaparte's Gull,Chroicocephalus philadelphia,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,philadelphia,bonaparte's gull,common_name,Larus philadelphia
424,Boreal Chickadee,Poecile hudsonicus,Animalia,Chordata,Aves,Passeriformes,Paridae,Poecile,hudsonicus,Boreal Chickadee,common_name,Poecile hudsonicus
75,Brandt's Cormorant,Urile penicillatus,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,penicillatus,Brandt's Cormorant,common_name,Phalacrocorax penicillatus
42,Brant,Branta bernicla,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,bernicla,Brant,common_name,Branta bernicla
416,Brewer's Blackbird,Euphagus cyanocephalus,Animalia,Chordata,Aves,Passeriformes,Icteridae,Euphagus,cyanocephalus,Brewer's Blackbird,common_name,Euphagus cyanocephalus
418,Brewer's Sparrow,Spizella breweri,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Spizella,breweri,Timberline Sparrow,binomial,Spizella breweri
569,Bridled Titmouse,Baeolophus wollweberi,Animalia,Chordata,Aves,Passeriformes,Paridae,Parus,wollweberi,bridled titmouse,common_name,Parus wollweberi
90,Broad-billed Hummingbird,Cynanthus latirostris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Cynanthus,latirostris,Broad-billed Hummingbird,common_name,Cynanthus latirostris
200,Broad-tailed Hummingbird,Selasphorus platycercus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,platycercus,Broad-tailed Hummingbird,common_name,Selasphorus platycercus
186,Broad-winged Hawk,Buteo platypterus,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,platypterus,Broad-winged Hawk,common_name,Buteo platypterus
590,Bronzed Cowbird,Molothrus aeneus,Animalia,Chordata,Aves,Passeriformes,Icteridae,Molothrus,aeneus,Bronze-brown Cowbird,binomial,Molothrus aeneus
435,Brown Creeper,Certhia americana,Animalia,Chordata,Aves,Passeriformes,Certhiidae,Certhia,americana,Brown Creeper,common_name,Certhia americana
41,Brown Pelican,Pelecanus occidentalis,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,occidentalis,Brown Pelican,common_name,Pelecanus occidentalis
438,Brown Thrasher,Toxostoma rufum,Animalia,Chordata,Aves,Passeriformes,Mimidae,Toxostoma,rufum,Brown Thrasher,common_name,Toxostoma rufum
280,Brown-capped Rosy-Finch,Leucosticte australis,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Leucosticte,australis,Brown-capped Rosy Finch,binomial,Leucosticte australis
690,Brown-headed Cowbird,Molothrus ater,Animalia,Chordata,Aves,Passeriformes,Icteridae,Molothrus,ater,Brown-headed Cowbird,common_name,Molothrus ater
711,Brown-headed Nuthatch,Sitta pusilla,Animalia,Chordata,Aves,Passeriformes,Sittidae,Sitta,pusilla,Brown-headed Nuthatch,common_name,Sitta pusilla
209,Bufflehead,Bucephala albeola,Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala,albeola,Bufflehead,common_name,Bucephala albeola
728,Bullock's Oriole,Icterus bullockii,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,bullockii,Bullock's Oriole,common_name,Icterus bullockii
182,Burrowing Owl,Athene cunicularia,Animalia,Chordata,Aves,Strigiformes,Strigidae,Athene,cunicularia,Burrowing Owl,common_name,Athene cunicularia
434,Bushtit,Psaltriparus minimus,Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Psaltriparus,minimus,Bushtit,common_name,Psaltriparus minimus
51,Cackling Goose,Branta hutchinsii,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,hutchinsii,Aleutian Canada Goose,binomial,Branta hutchinsii
265,Cactus Wren,Campylorhynchus brunneicapillus,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Campylorhynchus,brunneicapillus,San Diego cactus wren,binomial,Campylorhynchus brunneicapillus
241,California Gull,Larus californicus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,californicus,California Gull,common_name,Larus californicus
73,California Quail,Callipepla californica,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Callipepla,californica,California Quail,common_name,Callipepla californica
720,California Thrasher,Toxostoma redivivum,Animalia,Chordata,Aves,Passeriformes,Mimidae,Toxostoma,redivivum,California Thrasher,common_name,Toxostoma redivivum
290,California Towhee,Melozone crissalis,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melozone,crissalis,California Towhee,common_name,Melozone crissalis
180,Calliope Hummingbird,Selasphorus calliope,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,calliope,Calliope Hummingbird,common_name,Selasphorus calliope
57,Canada Goose,Branta canadensis,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,canadensis,Canada Goose,common_name,Branta canadensis
736,Canada Warbler,Cardellina canadensis,Animalia,Chordata,Aves,Passeriformes,Parulidae,Cardellina,canadensis,Canada Warbler,common_name,Cardellina canadensis
153,Canvasback,Aythya valisineria,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,valisineria,Canvasback,common_name,Aythya valisineria
282,Canyon Towhee,Melozone fusca,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Pipilo,fuscus,canyon towhee,common_name,Pipilo fuscus
288,Canyon Wren,Catherpes mexicanus,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Catherpes,mexicanus,Canyon Wren,common_name,Catherpes mexicanus
417,Cape May Warbler,Setophaga tigrina,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,tigrina,Cape May Warbler,common_name,Setophaga tigrina
261,Carolina Chickadee,Poecile carolinensis,Animalia,Chordata,Aves,Passeriformes,Paridae,Poecile,carolinensis,Carolina Chickadee,common_name,Poecile carolinensis
386,Carolina Wren,Thryothorus ludovicianus,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Thryothorus,ludovicianus,Carolina Wren,common_name,Thryothorus ludovicianus
245,Caspian Tern,Hydroprogne caspia,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,caspia,caspian tern,common_name,Sterna caspia
408,Cassin's Finch,Haemorhous cassinii,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Haemorhous,cassinii,Cassin's Finch,common_name,Haemorhous cassinii
701,Cassin's Kingbird,Tyrannus vociferans,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tyrannus,vociferans,Cassin's Kingbird,common_name,Tyrannus vociferans
563,Cassin's Vireo,Vireo cassinii,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,cassinii,Cassin's Vireo,common_name,Vireo cassinii
148,Cattle Egret,Bubulcus ibis,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Bubulcus,ibis,Cattle Egret,common_name,Bubulcus ibis
707,Cave Swallow,Petrochelidon fulva,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Petrochelidon,fulva,Cave Swallow,common_name,Petrochelidon fulva
597,Cedar Waxwing,Bombycilla cedrorum,Animalia,Chordata,Aves,Passeriformes,Bombycillidae,Bombycilla,cedrorum,Cedar Waxwing,common_name,Bombycilla cedrorum
406,Chestnut-backed Chickadee,Poecile rufescens,Animalia,Chordata,Aves,Passeriformes,Paridae,Poecile,rufescens,Chestnut-backed Chickadee,common_name,Poecile rufescens
577,Chestnut-sided Warbler,Setophaga pensylvanica,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,pensylvanica,Chestnut-sided Warbler,common_name,Setophaga pensylvanica
725,Chihuahuan Raven,Corvus cryptoleucus,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,cryptoleucus,Chihuahuan Raven,common_name,Corvus cryptoleucus
34,Chimney Swift,Chaetura pelagica,Animalia,Chordata,Aves,Apodiformes,Apodidae,Chaetura,pelagica,Chimney Swift,common_name,Chaetura pelagica
403,Chipping Sparrow,Spizella passerina,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Spizella,passerina,Chipping Sparrow,common_name,Spizella passerina
122,Cinnamon Teal,Spatula cyanoptera,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,cyanoptera,cinnamon teal,common_name,Anas cyanoptera
215,Clark's Grebe,Aechmophorus clarkii,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Aechmophorus,clarkii,Clark's Grebe,common_name,Aechmophorus clarkii
428,Clark's Nutcracker,Nucifraga columbiana,Animalia,Chordata,Aves,Passeriformes,Corvidae,Nucifraga,columbiana,Clark's Nutcracker,common_name,Nucifraga columbiana
410,Clay-colored Sparrow,Spizella pallida,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Spizella,pallida,Clay-colored Sparrow,common_name,Spizella pallida
592,Cliff Swallow,Petrochelidon pyrrhonota,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Petrochelidon,pyrrhonota,Cliff Swallow,common_name,Petrochelidon pyrrhonota
179,Common Eider,Somateria mollissima,Animalia,Chordata,Aves,Anseriformes,Anatidae,Somateria,mollissima,Pacific Eider,binomial,Somateria mollissima
110,Common Gallinule,Gallinula chloropus,Animalia,Chordata,Aves,Gruiformes,Rallidae,Gallinula,galeata,Common Gallinule,common_name,Gallinula galeata
214,Common Goldeneye,Bucephala clangula,Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala,clangula,Common Goldeneye,common_name,Bucephala clangula
429,Common Grackle,Quiscalus quiscula,Animalia,Chordata,Aves,Passeriformes,Icteridae,Quiscalus,quiscula,Common Grackle,common_name,Quiscalus quiscula
222,Common Ground-Dove,Columbina passerina,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columbina,passerina,Common Ground-Dove,common_name,Columbina passerina
194,Common Loon,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,immer,Common Loon,common_name,Gavia immer
229,Common Merganser,Mergus merganser,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergus,merganser,Common Merganser,common_name,Mergus merganser
141,Common Nighthawk,Chordeiles minor,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Common Nighthawk,common_name,Chordeiles minor
739,Common Raven,Corvus corax,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,corax,Common Raven,common_name,Corvus corax
585,Common Redpoll,Acanthis flammea,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Carduelis,flammea,common redpoll,common_name,Carduelis flammea
247,Common Tern,Sterna hirundo,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,hirundo,Common Tern,common_name,Sterna hirundo
391,Common Yellowthroat,Geothlypis trichas,Animalia,Chordata,Aves,Passeriformes,Parulidae,Geothlypis,trichas,Common Yellowthroat,common_name,Geothlypis trichas
155,Cooper's Hawk,Accipiter cooperii,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,cooperii,Cooper's Hawk,common_name,Accipiter cooperii
312,Cordilleran Flycatcher,Empidonax occidentalis,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,occidentalis,Cordilleran Flycatcher,common_name,Empidonax occidentalis
167,Costa's Hummingbird,Calypte costae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Calypte,costae,Costa's Hummingbird,common_name,Calypte costae
54,Crested Caracara,Caracara plancus,Animalia,Chordata,Aves,Falconiformes,Falconidae,Caracara,cheriway,crested caracara,common_name,Caracara cheriway
596,Curve-billed Thrasher,Toxostoma curvirostre,Animalia,Chordata,Aves,Passeriformes,Mimidae,Toxostoma,curvirostre,Curve-billed Thrasher,common_name,Toxostoma curvirostre
744,Dark-eyed Junco,Junco hyemalis,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Junco,hyemalis,Dark-eyed Junco,common_name,Junco hyemalis
738,Dickcissel,Spiza americana,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Spiza,americana,Dickcissel,common_name,Spiza americana
134,Double-crested Cormorant,Phalacrocorax auritus,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,auritus,double-crested cormorant,common_name,Phalacrocorax auritus
188,Downy Woodpecker,Dryobates pubescens,Animalia,Chordata,Aves,Piciformes,Picidae,Picoides,pubescens,downy woodpecker,common_name,Picoides pubescens
129,Dunlin,Calidris alpina,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,alpina,Dunlin,common_name,Calidris alpina
157,Eared Grebe,Podiceps nigricollis,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,nigricollis,Eared Grebe,common_name,Podiceps nigricollis
262,Eastern Bluebird,Sialia sialis,Animalia,Chordata,Aves,Passeriformes,Turdidae,Sialia,sialis,Eastern Bluebird,common_name,Sialia sialis
727,Eastern Kingbird,Tyrannus tyrannus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tyrannus,tyrannus,Eastern Kingbird,common_name,Tyrannus tyrannus
277,Eastern Meadowlark,Sturnella magna,Animalia,Chordata,Aves,Passeriformes,Icteridae,Sturnella,magna,Eastern Meadowlark,common_name,Sturnella magna
420,Eastern Phoebe,Sayornis phoebe,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Sayornis,phoebe,Eastern Phoebe,common_name,Sayornis phoebe
88,Eastern Screech-Owl,Megascops asio,Animalia,Chordata,Aves,Strigiformes,Strigidae,Megascops,asio,Eastern Screech-Owl,common_name,Megascops asio
267,Eastern Towhee,Pipilo erythrophthalmus,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Pipilo,erythrophthalmus,Eastern Towhee,common_name,Pipilo erythrophthalmus
270,Eastern Wood-Pewee,Contopus virens,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Contopus,virens,Eastern Wood Pewee,binomial,Contopus virens
105,Eurasian Collared-Dove,Streptopelia decaocto,Animalia,Chordata,Aves,Columbiformes,Columbidae,Streptopelia,decaocto,Eurasian Collared-Dove,common_name,Streptopelia decaocto
439,European Starling,Sturnus vulgaris,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Sturnus,vulgaris,European Starling,common_name,Sturnus vulgaris
740,Evening Grosbeak,Hesperiphona vespertina,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Coccothraustes,vespertinus,Evening Grosbeak,common_name,Coccothraustes vespertinus
426,Field Sparrow,Spizella pusilla,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Spizella,pusilla,Field Sparrow,common_name,Spizella pusilla
710,Fish Crow,Corvus ossifragus,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,ossifragus,Fish Crow,common_name,Corvus ossifragus
301,Florida Scrub-Jay,Aphelocoma coerulescens,Animalia,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,coerulescens,Florida Scrub Jay,binomial,Aphelocoma coerulescens
248,Forster's Tern,Sterna forsteri,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,forsteri,Forster's Tern,common_name,Sterna forsteri
591,Fox Sparrow,Passerella iliaca,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Passerella,iliaca,Fox Sparrow,common_name,Passerella iliaca
87,Gadwall,Mareca strepera,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,strepera,gadwall,common_name,Anas strepera
103,Gambel's Quail,Callipepla gambelii,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Callipepla,gambelii,Gambel's Quail,common_name,Callipepla gambelii
63,Gila Woodpecker,Melanerpes uropygialis,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,uropygialis,Gila Woodpecker,common_name,Melanerpes uropygialis
243,Glaucous-winged Gull,Larus glaucescens,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,glaucescens,Glaucous-winged Gull,common_name,Larus glaucescens
208,Glossy Ibis,Plegadis falcinellus,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Plegadis,falcinellus,Glossy Ibis,common_name,Plegadis falcinellus
234,Golden Eagle,Aquila chrysaetos,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,chrysaetos,Golden Eagle,common_name,Aquila chrysaetos
